No,Kode,Nama perusahaan,Tanggal pencatatan,Jumlah Saham,Papan pencatatan,Sektor
55,BEI: ARMY,Armidian Karyatama Tbk.,21 Juni 2017,9.006.250.000,Pemantauan Khusus,Properties & Real Estate
56,BEI: ARNA,Arwana Citramulia Tbk.,17 Juli 2001,7.341.430.976,Utama,Industrials
57,BEI: ARTA,Arthavest Tbk,5 November 2002,446.674.175,Pemantauan Khusus,Consumer Cyclicals
58,BEI: ARTI,Ratu Prabu Energi Tbk,30 April 2003,7.840.000.000,Pemantauan Khusus,Energy
59,BEI: ARTO,Bank Jago Tbk.,12 Januari 2016,13.718.448.700,Utama,Financials
60,BEI: ASBI,Asuransi Bintang Tbk.,29 November 1989,348.386.472,Pengembangan,Financials
61,BEI: ASDM,Asuransi Dayin Mitra Tbk.,15 Desember 1989,384.000.000,Pengembangan,Financials
62,BEI: ASGR,Astra Graphia Tbk.,15 November 1989,1.348.780.500,Utama,Industrials
63,BEI: ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,5.000.000.000,Pemantauan Khusus,Consumer Non-Cyclicals
64,BEI: ASII,Astra International Tbk.,4 April 1990,40.483.553.140,Utama,Industrials
65,BEI: ASJT,Asuransi Jasa Tania Tbk.,23 Desember 2003,1.400.000.000,Pengembangan,Financials
66,BEI: ASLC,Autopedia Sukses Lestari Tbk.,25 Januari 2022,12.746.354.780,Pengembangan,Consumer Cyclicals
67,BEI: ASLI,Asri Karya Lestari Tbk.,5 Januari 2024,6.250.000.000,Pengembangan,Infrastructure
68,BEI: ASMI,Asuransi Maximus Graha Persada,16 Januari 2014,8.958.380.460,Pemantauan Khusus,Financials
69,BEI: ASPI,Andalan Sakti Primaindo Tbk.,17 Februari 2020,681.823.317,Pengembangan,Properties & Real Estate
70,BEI: ASRI,Alam Sutera Realty Tbk.,18 Desember 2007,19.649.411.888,Utama,Properties & Real Estate
71,BEI: ASRM,Asuransi Ramayana Tbk.,19 Maret 1990,1.217.135.360,Pengembangan,Financials
72,BEI: ASSA,Adi Sarana Armada Tbk.,12 November 2012,3.691.137.517,Utama,Transportation & Logistics
73,BEI: ATAP,Trimitra Prawara Goldland Tbk.,11 Desember 2020,1.250.000.000,Pemantauan Khusus,Properties & Real Estate
74,BEI: ATIC,Anabatic Technologies Tbk.,8 Juli 2015,2.315.361.355,Pengembangan,Technology
75,BEI: ATLA,Atlantis Subsea Indonesia Tbk.,16 April 2024,6.199.526.452,Pengembangan,Energy
76,BEI: AUTO,Astra Otoparts Tbk.,15 Juni 1998,4.819.733.000,Utama,Consumer Cyclicals
77,BEI: AVIA,Avia Avian Tbk.,8 Desember 2021,61.953.555.600,Utama,Basic Materials
78,BEI: AWAN,Era Digital Media Tbk.,18 April 2023,3.435.000.000,Pengembangan,Technology
79,BEI: AXIO,Tera Data Indonusa Tbk.,20 Juli 2022,5.840.126.500,Utama,Technology
80,BEI: AYAM,Janu Putra Sejahtera Tbk.,30 November 2023,4.000.000.000,Pengembangan,Consumer Non-Cyclicals
81,BEI: AYLS,Agro Yasa Lestari Tbk.,12 Februari 2020,853.423.236,Pengembangan,Basic Materials
82,BEI: PTBA,Bukit Asam Tbk.,23 Desember 2002,11.520.659.250,Utama,Energy
83,BEI: BABP,Bank MNC Internasional Tbk.,15 Juli 2002,44.014.333.126,Pengembangan,Financials
84,BEI: BABY,Multitrend Indo Tbk.,7 September 2023,2.616.226.706,Pengembangan,Consumer Cyclicals
85,BEI: BACA,Bank Capital Indonesia Tbk.,4 Oktober 2007,19.753.494.636,Utama,Financials
86,BEI: BAIK,Bersama Mencapai Puncak Tbk.,15 Februari 2024,1.125.000.000,Pengembangan,Consumer Cyclicals
87,BEI: BAJA,Saranacentral Bajatama Tbk.,21 Desember 2011,1.800.000.000,Pengembangan,Basic Materials
88,BEI: BALI,Bali Towerindo Sentra Tbk.,13 Maret 2014,3.934.592.500,Utama,Infrastructure
89,BEI: BANK,Bank Aladin Syariah Tbk.,1 Februari 2021,14.621.940.588,Utama,Financials
90,BEI: BAPA,Bekasi Asri Pemula Tbk.,14 Januari 2008,661.784.520,Pengembangan,Properties & Real Estate
91,BEI: BAPI,Bhakti Agung Propertindo Tbk.,16 September 2019,5.591.980.103,Pemantauan Khusus,Properties & Real Estate
92,BEI: BATA,Sepatu Bata Tbk.,24 Maret 1982,1.300.000.000,Pengembangan,Consumer Cyclicals
93,BEI: BATR,Benteng Api Technic Tbk.,10 Juni 2024,3.025.000.000,Pengembangan,Basic Materials
94,BEI: BAUT,Mitra Angkasa Sejahtera Tbk.,28 Januari 2022,4.800.139.307,Pemantauan Khusus,Consumer Cyclicals
95,BEI: BAYU,Bayu Buana Tbk,30 Oktober 1989,353.220.780,Pengembangan,Consumer Cyclicals
96,BEI: BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama,Financials
97,BEI: BBHI,Allo Bank Indonesia Tbk.,12 Agustus 2015,21.512.953.877,Utama,Financials
98,BEI: BBKP,Bank KB Bukopin Tbk.,10 Juli 2006,185.819.884.852,Utama,Financials
99,BEI: BBLD,Buana Finance Tbk.,7 Mei 1990,1.645.796.054,Pengembangan,Financials
100,BEI: BBMD,Bank Mestika Dharma Tbk.,8 Juli 2013,4.049.189.100,Pengembangan,Financials
101,BEI: BBNI,Bank Negara Indonesia (Persero) Tbk.,25 November 1996,36.924.339.786,Utama,Financials
102,BEI: BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10 November 2003,150.043.411.587,Utama,Financials
103,BEI: BBRM,Pelayaran Nasional Bina Buana,9 Januari 2013,8.479.490.328,Pengembangan,Energy
104,BEI: BBSI,Krom Bank Indonesia Tbk.,7 September 2020,3.637.976.068,Pengembangan,Financials
105,BEI: BBSS,Bumi Benowo Sukses Sejahtera T,15 April 2020,4.800.016.020,Pengembangan,Properties & Real Estate
106,BEI: BBTN,Bank Tabungan Negara (Persero),17 Desember 2009,13.894.099.969,Utama,Financials
107,BEI: BBYB,Bank Neo Commerce Tbk.,13 Januari 2015,13.216.977.523,Utama,Financials
108,BEI: BCAP,MNC Kapital Indonesia Tbk.,8 Juni 2001,42.618.850.927,Utama,Financials
109,BEI: BCIC,Bank JTrust Indonesia Tbk.,25 Juni 1997,17.926.071.041,Pengembangan,Financials
110,BEI: BCIP,Bumi Citra Permai Tbk.,11 Desember 2009,1.429.915.525,Pengembangan,Properties & Real Estate
111,BEI: BDKR,Berdikari Pondasi Perkasa Tbk.,3 Maret 2023,4.725.101.522,Utama,Infrastructure
112,BEI: BDMN,Bank Danamon Indonesia Tbk.,6 Desember 1989,9.675.817.341,Utama,Financials
113,BEI: BEBS,Berkah Beton Sadaya Tbk.,10 Maret 2021,45.000.000.000,Pemantauan Khusus,Basic Materials
114,BEI: BEEF,Estika Tata Tiara Tbk.,10 Januari 2019,7.186.061.591,Pengembangan,Consumer Non-Cyclicals
115,BEI: BEER,Jobubu Jarum Minahasa Tbk.,6 Januari 2023,4.000.000.000,Pengembangan,Consumer Non-Cyclicals
116,BEI: BEKS,Bank Pembangunan Daerah Banten,13 Juli 2001,51.351.733.883,Pemantauan Khusus,Financials
117,BEI: BELI,Global Digital Niaga Tbk.,8 November 2022,128.110.737.143,Ekonomi Baru,Technology
118,BEI: BELL,Trisula Textile Industries Tbk,3 Oktober 2017,7.250.000.000,Pengembangan,Consumer Cyclicals
119,BEI: BESS,Batulicin Nusantara Maritim Tb,9 Maret 2020,3.440.455.528,Pengembangan,Energy
120,BEI: BEST,Bekasi Fajar Industrial Estate,10 April 2012,9.647.311.150,Utama,Properties & Real Estate
121,BEI: BFIN,BFI Finance Indonesia Tbk.,16 Mei 1990,15.967.115.620,Utama,Financials
122,BEI: BGTG,Bank Ganesha Tbk.,12 Mei 2016,23.731.287.132,Pengembangan,Financials
123,BEI: BHAT,Bhakti Multi Artha Tbk.,15 April 2020,5.000.000.000,Pengembangan,Financials
124,BEI: BHIT,MNC Asia Holding Tbk.,24 November 1997,86.068.156.705,Pemantauan Khusus,Industrials
125,BEI: BIKA,Binakarya Jaya Abadi Tbk.,14 Juli 2015,592.280.000,Pemantauan Khusus,Properties & Real Estate
